"[CREATE TABLE Planets (PlanetID INT, Name VARCHAR(50), Population INT)] creates a new table named Planets with columns for PlanetID, Name, and Population.", 1
"[MAKE DATAFRAME Planets WITH (PlanetID INT, Name VARCHAR(50), Population INT)] creates a new table named Planets with columns for PlanetID, Name, and Population.", 0
"[INSERT INTO Species (SpeciesID, Name) VALUES (1, 'Human'), (2, 'Wookiee'), (3, 'Hutt')] inserts three rows into the Species table.", 1
"[APPEND (1, 'Human'), (2, 'Wookiee'), (3, 'Hutt') TO Species (SpeciesID, Name)] inserts three rows into the Species table.", 0
"[SELECT Name, Population FROM Planets] retrieves the Name and Population columns from the Planets table.", 1
"[EXTRACT Name, Population FROM Planets] retrieves the Name and Population columns from the Planets table.", 0
"[SELECT * FROM Starships ORDER BY Length DESC] retrieves all columns from the Starships table, sorted by the Length column in descending order.", 1
"[GET * FROM Starships SORT BY Length DESCENDING] retrieves all columns from the Starships table, sorted by the Length column in descending order.", 0
"[SELECT COUNT(*) AS NumCharacters FROM Characters] returns the number of rows in the Characters table with the alias 'NumCharacters'.", 1
"[SUM(*) AS NumCharacters FROM Characters] returns the number of rows in the Characters table with the alias 'NumCharacters'.", 0
"[SELECT Name, Mass FROM Starships WHERE Mass > 1000000] retrieves the Name and Mass of starships with a Mass greater than 1,000,000.", 1
"[FIND Name, Mass FROM Starships IF Mass > 1000000] retrieves the Name and Mass of starships with a Mass greater than 1,000,000.", 0
"[SELECT DISTINCT Species FROM Characters] returns the unique species from the Characters table.", 1
"[GET UNIQUE Species FROM Characters] returns the unique species from the Characters table.", 0
"[SELECT Name FROM Planets ORDER BY Name LIMIT 5] retrieves the first 5 planet names in alphabetical order.", 1
"[LIST Name FROM Planets SORT BY Name TAKE 5] retrieves the first 5 planet names in alphabetical order.", 0
"[CREATE TABLE Jedi (JediID INT, Name VARCHAR(50), Rank VARCHAR(20))] creates a new table named Jedi with columns for JediID, Name, and Rank.", 1
"[DEFINE Jedi AS (JediID INT, Name VARCHAR(50), Rank VARCHAR(20))] creates a new table named Jedi with columns for JediID, Name, and Rank.", 0
"[INSERT INTO Planets (PlanetID, Name, Population) VALUES (1, 'Tatooine', 200000), (2, 'Naboo', 4500000000), (3, 'Coruscant', 1000000000000)] inserts three rows into the Planets table.", 1
"[ADD (1, 'Tatooine', 200000), (2, 'Naboo', 4500000000), (3, 'Coruscant', 1000000000000) INTO Planets (PlanetID, Name, Population)] inserts three rows into the Planets table.", 0
"[SELECT Title, EpisodeID FROM Films ORDER BY ReleaseDate] retrieves the Title and EpisodeID of films, ordered by their release date.", 1
"[EXTRACT Title, EpisodeID FROM Films SORTED BY ReleaseDate] retrieves the Title and EpisodeID of films, ordered by their release date.", 0
"[SELECT Species, AVG(Height) AS AvgHeight FROM Characters GROUP BY Species] calculates the average height for each species in the Characters table.", 1
"[CALCULATE AVG(Height) AS AvgHeight, Species FROM Characters CLUSTER BY Species] calculates the average height for each species in the Characters table.", 0
"[SELECT Name, Manufacturer, Cost FROM Starships WHERE Cost < 1000000] retrieves the Name, Manufacturer, and Cost of starships with a Cost less than 1,000,000.", 1
"[LIST Name, Manufacturer, Cost FROM Starships IF Cost < 1000000] retrieves the Name, Manufacturer, and Cost of starships with a Cost less than 1,000,000.", 0
"[SELECT Name FROM Characters WHERE Name LIKE '%Skywalker%'] retrieves characters whose name contains 'Skywalker'.", 1
